Time,audit_cycle,strategy,fog_count,avg_reputation,avg_collateral,avg_profit,audit_type,audit_result
1.1021865946669218,35,Balanced,1000,7.001,3.0,-0.0014118960859382881,False,True
1.179284858156066,36,Balanced,1000,7.002,3.0,-0.0013574721403032922,False,True
1.1865806334802107,37,Conservative,1000,7.003,3.0,-0.001920561950130215,False,True
1.1974388526635522,38,Conservative,1000,7.004,3.0,-0.001879700021362354,False,True
1.207297790638829,39,Progressive,1000,6.997,3.0,-0.0036719051903227715,False,False
1.2121528083509825,40,Progressive,1000,6.9945,3.0,-0.004746070253962563,False,False
1.2144436624320172,41,Opportunistic,1000,6.992,3.0,-0.005968998427012332,False,False
1.2345251791113774,42,Conservative,1000,7.0015,3.0,-0.0030486770810800117,False,False
1.333303924574905,43,Progressive,1000,6.9955,3.0,-0.004622225120954237,False,True
1.3572038235640167,44,Progressive,1000,6.9965,3.0,-0.004602377012968861,False,True
1.3651430270405613,45,Conservative,1000,7.0025,3.0,-0.00301458843268108,False,True
1.388505383720632,46,Progressive,1000,6.994,3.0,-0.005670946912327205,False,False
1.4120414444358103,46,Opportunistic,1000,6.993,3.0,-0.0058625543818198005,False,True
1.468001814356921,47,Progressive,1000,6.9915,3.0,-0.006753271779096446,False,False
1.484430639389493,48,Opportunistic,1000,6.9905,3.0,-0.006921903589862861,False,False
1.5029398599803037,49,Aggressive,1000,6.9915,3.0,-0.004630054170306091,False,False
1.503498724765117,49,Progressive,1000,6.9925,3.0,-0.006705670399144871,False,True
1.6111815952609252,50,Aggressive,1000,6.989,3.0,-0.005649371619274721,False,False
1.6356064763892573,50,Opportunistic,1000,6.9915,3.0,-0.006797379106579751,False,True
1.65843143294286,50,Progressive,1000,6.9935,3.0,-0.006586688607985375,False,True
1.6915444682368856,51,Balanced,1000,7.003,3.0,-0.0013437862782185684,False,True
1.696052664574494,52,Progressive,1000,6.991,3.0,-0.0076579972372816645,False,False
1.7191559845756537,52,Balanced,1000,7.004,3.0,-0.001261973498563201,False,True
1.722451624907253,53,Aggressive,1000,6.9865,3.0,-0.006685620897899481,False,False
1.7984890613373163,54,Opportunistic,1000,6.989,3.0,-0.007912110573015023,False,False
1.8078806854981253,55,Opportunistic,1000,6.9865,3.0,-0.008934910348903372,False,False
