,x,y
770,0.77,0.0176184051151646
771,0.771,0.017481697777120643
772,0.772,0.017345630790499365
773,0.773,0.01721020229088585
774,0.774,0.017075410417557467
775,0.775,0.01694125331355253
776,0.776,0.016807729125740474
777,0.777,0.01667483600489226
778,0.778,0.016542572105746382
779,0.779,0.016410935587077822
780,0.78,0.016279924611763683
781,0.781,0.016149537346849995
782,0.782,0.016019771963615884
783,0.783,0.015890626637638693
784,0.784,0.015762099548856674
785,0.785,0.01563418888163317
786,0.786,0.015506892824817592
787,0.787,0.015380209571807826
788,0.788,0.015254137320610322
789,0.789,0.015128674273900886
790,0.79,0.015003818639083384
791,0.791,0.0148795686283493
792,0.792,0.014755922458735048
793,0.793,0.01463287835218059
794,0.794,0.014510434535584918
795,0.795,0.014388589240863389
796,0.796,0.01426734070500272
797,0.797,0.014146687170116587
798,0.798,0.014026626883499439
799,0.799,0.013907158097680686
800,0.8,0.013788279070478077
801,0.801,0.013669988065050268
802,0.802,0.013552283349949302
803,0.803,0.013435163199171533
804,0.804,0.013318625892209704
805,0.805,0.01320266971410315
806,0.806,0.013087292955487719
807,0.807,0.012972493912645721
808,0.808,0.012858270887555152
809,0.809,0.012744622187938027
810,0.81,0.01263154612730896
811,0.811,0.012519041025022931
812,0.812,0.012407105206322502
813,0.8130000000000001,0.012295737002384989
814,0.8140000000000001,0.012184934750368914
815,0.8150000000000001,0.012074696793460184
816,0.8160000000000001,0.011965021480918166
817,0.8170000000000001,0.011855907168120582
818,0.8180000000000001,0.011747352216609091
819,0.8190000000000001,0.011639354994134102
820,0.8200000000000001,0.0115319138746984
821,0.8210000000000001,0.01142502723860271
822,0.8220000000000001,0.011318693472488059
823,0.8230000000000001,0.011212910969380261
824,0.8240000000000001,0.011107678128733051
825,0.8250000000000001,0.011002993356470788
826,0.8260000000000001,0.010898855065031687
827,0.8270000000000001,0.010795261673410122
828,0.8280000000000001,0.010692211607199312
829,0.8290000000000001,0.010589703298633242
830,0.8300000000000001,0.010487735186628792
831,0.8310000000000001,0.010386305716827618
832,0.8320000000000001,0.010285413341638154
833,0.833,0.010185056520276783
834,0.834,0.010085233718809426
835,0.835,0.009985943410193435
836,0.836,0.009887184074318418
837,0.837,0.009788954198047936
838,0.838,0.009691252275260413
839,0.839,0.00959407680689078
840,0.84,0.009497426300971447
841,0.841,0.009401299272673833
842,0.842,0.009305694244349695
843,0.843,0.009210609745572319
844,0.844,0.009116044313178206
845,0.845,0.009021996491308778
846,0.846,0.008928464831452087
847,0.847,0.008835447892484416
848,0.848,0.008742944240712806
849,0.849,0.008650952449917123
850,0.85,0.00855947110139249
851,0.851,0.008468498783992381
852,0.852,0.008378034094171243
853,0.853,0.008288075636028234
854,0.854,0.008198622021350558
855,0.855,0.00810967186965773
856,0.856,0.008021223808245954
857,0.857,0.007933276472232829
858,0.858,0.007845828504602682
859,0.859,0.00775887855625251
860,0.86,0.007672425286037973
861,0.861,0.007586467360820355
862,0.862,0.007501003455513665
863,0.863,0.0074160322531330175
864,0.864,0.007331552444842964
865,0.865,0.0072475627300067165
866,0.866,0.007164061816236296
867,0.867,0.007081048419443289
868,0.868,0.006998521263890232
869,0.869,0.006916479082243128
870,0.87,0.00683492061562451
871,0.871,0.006753844613667806
872,0.872,0.006673249834572283
873,0.873,0.006593135045159181
874,0.874,0.006513499020928912
875,0.875,0.00643434054611932
876,0.876,0.006355658413765242
877,0.877,0.006277451425758687
878,0.878,0.00619971839291134
879,0.879,0.006122458135017248
880,0.88,0.006045669480917625
881,0.881,0.005969351268566799
882,0.882,0.005893502345099749
883,0.883,0.005818121566900923
884,0.884,0.005743207799675376
885,0.885,0.005668759918520552
886,0.886,0.005594776808000937
887,0.887,0.0055212573622235965
888,0.888,0.0054482004849163174
889,0.889,0.005375605089507377
