Time,strategy,fog_count,avg_reputation,avg_profit,avg_honesty
10.995510846103883,Balanced,975,6.6923076923076925,-0.13347072274862287,0.5133780655529266
11.000583917471136,Aggressive,972,6.492798353909465,-0.17568613251205778,0.16671987203091695
11.001027108691366,Balanced,975,6.693333333333333,-0.1334135723676656,0.513176458787685
11.006903626297072,Cyclic,966,6.508281573498965,-0.1721141363478228,0.16173954759455672
11.008896062278371,Balanced,975,6.694358974358974,-0.13331860259549344,0.5126257170215089
11.027857435497946,Opportunistic,979,6.6189989785495404,-0.15329704902648658,0.4521142059174836
11.028786935115841,Conservative,990,7.047474747474747,-0.051030289290028064,0.8337126844840537
11.029844723736366,Conservative,990,7.048484848484849,-0.05099499291079808,0.8337061776465128
11.033968851421305,Cyclic,966,6.505175983436853,-0.17315881449661133,0.16193689859166366
11.041499409587193,Aggressive,971,6.495365602471678,-0.17482641304998525,0.1667196828450811
11.04772696572232,Cyclic,966,6.5020703933747415,-0.17419908643980084,0.1619716421501145
11.051205598194253,Balanced,975,6.695384615384615,-0.1332309037865032,0.5125675790561502
11.055760623099752,Cyclic,965,6.504663212435233,-0.1733088013875606,0.16210461854534408
11.079461675873215,Conservative,990,7.048484848484849,-0.05091927907466381,0.8335715097255754
11.081941595350424,Conservative,990,7.0494949494949495,-0.050875240540261636,0.8337406049585158
11.08312328113969,Aggressive,970,6.497938144329897,-0.17397011925500147,0.16662347327413096
11.106697853905644,Balanced,974,6.698151950718686,-0.1322862351644978,0.512481673263459
11.116497195798386,Balanced,974,6.695071868583162,-0.1333592461890252,0.512481673263459
11.12222321089058,Conservative,990,7.0494949494949495,-0.05082354524495048,0.8334971319590521
11.12394979795863,Conservative,990,7.0494949494949495,-0.05076153015396649,0.8332087503051291
11.133645219408978,Balanced,974,6.691991786447638,-0.13444583282660438,0.5123525142192286
11.134579957068787,Cyclic,965,6.501554404145078,-0.17436119736877026,0.16210461854534408
11.139245667996487,Aggressive,970,6.494845360824742,-0.17502456514996773,0.16662347327413096
11.13977337027623,Conservative,990,7.05050505050505,-0.05070551864038778,0.8332428414672556
11.149620652838385,Opportunistic,979,6.615934627170582,-0.15437454509382395,0.45255844888430635
11.163839140377993,Cyclic,965,6.498445595854922,-0.17541192406145542,0.1620304810697814
11.182311763227005,Conservative,990,7.051515151515152,-0.05065904435463976,0.8332127915486176
11.18232367436675,Cyclic,965,6.495336787564767,-0.17645328398767623,0.16204524281457958
11.185980375733571,Opportunistic,979,6.612870275791624,-0.15539986330012917,0.4528558514539191
11.220075727191315,Cyclic,965,6.492227979274611,-0.17750550186531275,0.1621246693087395
11.22166660281805,Conservative,990,7.052525252525252,-0.05061809365901596,0.833252690851654
11.222461101501272,Cyclic,965,6.493264248704663,-0.1773920862070918,0.16200815730230916
11.230497265333332,Conservative,990,7.0494949494949495,-0.051726731661292415,0.8331897549717452
11.235571208822009,Cyclic,965,6.490155440414508,-0.1784355419196905,0.1619705370326563
11.237989999029962,Opportunistic,979,6.613891726251277,-0.15530897475274416,0.45347107504168127
11.264586334593174,Aggressive,970,6.491752577319588,-0.17606052543609477,0.1664929781327914
11.264724818451644,Cyclic,965,6.487046632124352,-0.17951800350680547,0.16201036918709366
11.27176096897861,Conservative,990,7.05050505050505,-0.051690863383153374,0.8330419153563664
11.286100687213679,Opportunistic,979,6.6108273748723185,-0.15636620323512979,0.4534272721630819
11.298952313065529,Balanced,974,6.688911704312115,-0.135536514269246,0.5124050960923364
11.314307936941576,Opportunistic,979,6.60776302349336,-0.15741785214002746,0.45352641923226417
11.334786790279285,Conservative,990,7.05050505050505,-0.051618505281463875,0.832852900466213
11.348230106328119,Aggressive,969,6.4943240454076365,-0.17520018210563834,0.16667996216150252
11.348404495597403,Conservative,990,7.051515151515152,-0.05157431573092849,0.8330587600851898
11.353922542155109,Conservative,990,7.052525252525252,-0.05152882113429402,0.8331738467577651
