Time,audit_cycle,strategy,fog_count,avg_reputation,avg_collateral,avg_profit,avg_honesty,audit_type,audit_result
3.018557650405371,32,Conservative,1000,7.004,5.0,0.00020290103250328502,0.8588316067310033,False,True
3.047494851917811,32,Conservative,1000,7.002,4.999,-0.0007774248129951731,0.8590811189629709,True,False
3.1174477217393353,32,Aggressive,1000,6.988,4.999,-0.005626836505501568,0.14340389931979497,True,False
3.283290883798871,32,Progressive,1000,6.988,4.998,-0.006251918193818557,0.14407216733534212,True,False
3.3525667420942025,33,Progressive,1000,6.986,4.998,-0.007279934371569991,0.1440683112953289,False,False
3.4379451106560475,34,Aggressive,1000,6.989,4.999,-0.005511698107166812,0.1434960385237904,False,True
3.4561673836864304,34,Balanced,1000,6.993,4.999,-0.00558594941787188,0.5004121079389101,True,False
3.5357007941142995,35,Progressive,1000,6.987,4.998,-0.007082989667817207,0.1439739689224185,False,True
3.686727847958643,36,Progressive,1000,6.985,4.998,-0.008118602313661554,0.14410849685075244,False,False
3.704658818170153,37,Progressive,1000,6.986,4.998,-0.007914031379787282,0.1442380750567172,False,True
3.715273792943102,38,Aggressive,1000,6.987,4.999,-0.00653740922494347,0.14368873386448844,False,False
3.773443187247829,38,Opportunistic,1000,6.998,4.999,-0.0026102923703424986,0.41375176772877037,True,False
3.832901406585636,39,Opportunistic,1000,6.999,4.999,-0.0023874209297848367,0.41395341331801416,False,True
4.029124563515138,40,Conservative,1000,7.003,4.999,-0.0007646101445886622,0.8591612020855194,False,True
4.083861984908278,41,Balanced,1000,6.991,4.999,-0.006660840027334493,0.5005576942173738,False,False
4.095918528101926,42,Progressive,1000,6.984,4.998,-0.008918886409394698,0.14412752541529208,False,False
4.116220469825433,43,Conservative,1000,7.004,4.999,-0.0007369192259826901,0.8590419695616904,False,True
4.136441912019726,44,Progressive,1000,6.982,4.998,-0.009930791647377524,0.14421679200017318,False,False
4.200986598258156,45,Progressive,1000,6.983,4.998,-0.009846667025990092,0.1441672404928335,False,True
4.21087495964931,46,Progressive,1000,6.984,4.998,-0.00978152166924897,0.1439512846331715,False,True
4.362156599158896,47,Opportunistic,1000,7.0,4.999,-0.002323676496334867,0.4140103976277818,False,True
4.371329614242989,48,Opportunistic,1000,6.998,4.999,-0.003388797989630473,0.41403296449866367,False,False
4.488191213850591,49,Balanced,1000,6.989,4.999,-0.007766785814535071,0.5009595265510544,False,False
4.824199701350937,49,Progressive,1000,6.982,4.997,-0.01070609926792616,0.14410277698186583,True,False
5.112700548148231,50,Conservative,1000,7.002,4.999,-0.001879724223357837,0.8592623516257485,False,False
5.115292271025529,51,Aggressive,1000,6.988,4.999,-0.006359431570234006,0.14368097824910608,False,True
5.148690503737394,52,Opportunistic,1000,6.996,4.999,-0.004423288515042288,0.41400979220785467,False,False
5.29821971736361,53,Opportunistic,1000,6.997,4.999,-0.00427631753676561,0.4141292696219259,False,True
