Time,strategy,fog_count
6.2,Conservative,999.72
6.2,Cyclic,999.56
6.2,Aggressive,994.6
6.2,Opportunistic,998.26
6.2,Balanced,998.32
6.25,Cyclic,999.54
6.25,Balanced,998.32
6.25,Conservative,999.7
6.25,Opportunistic,998.24
6.25,Aggressive,994.54
6.3,Opportunistic,998.2
6.3,Balanced,998.26
6.3,Aggressive,994.44
6.3,Conservative,999.7
6.3,Cyclic,999.54
6.35,Opportunistic,998.2
6.35,Aggressive,994.34
6.35,Balanced,998.24
6.35,Cyclic,999.54
6.35,Conservative,999.7
6.4,Conservative,999.68
6.4,Cyclic,999.54
6.4,Aggressive,994.3
6.4,Opportunistic,998.2
6.4,Balanced,998.22
6.45,Balanced,998.18
6.45,Cyclic,999.52
6.45,Aggressive,994.24
6.45,Opportunistic,998.16
6.45,Conservative,999.68
6.5,Cyclic,999.52
6.5,Balanced,998.1
6.5,Aggressive,994.16
6.5,Opportunistic,998.08
6.5,Conservative,999.68
6.55,Conservative,999.68
6.55,Cyclic,999.52
6.55,Opportunistic,998.04
6.55,Balanced,998.06
6.55,Aggressive,994.12
6.6,Aggressive,994.04
6.6,Conservative,999.68
6.6,Opportunistic,998.02
6.6,Balanced,998.04
6.6,Cyclic,999.52
6.65,Aggressive,993.96
6.65,Conservative,999.68
6.65,Opportunistic,997.98
6.65,Cyclic,999.5
6.65,Balanced,997.98
6.7,Cyclic,999.5
6.7,Conservative,999.68
6.7,Aggressive,993.9
6.7,Balanced,997.98
6.7,Opportunistic,997.96
6.75,Opportunistic,997.9
6.75,Aggressive,993.86
6.75,Cyclic,999.48
6.75,Conservative,999.68
6.75,Balanced,997.92
6.8,Aggressive,993.78
6.8,Cyclic,999.46
6.8,Conservative,999.66
6.8,Balanced,997.9
6.8,Opportunistic,997.88
6.85,Cyclic,999.46
6.85,Balanced,997.88
6.85,Aggressive,993.72
6.85,Opportunistic,997.88
6.85,Conservative,999.66
6.9,Balanced,997.82
6.9,Conservative,999.66
6.9,Opportunistic,997.84
6.9,Cyclic,999.46
6.9,Aggressive,993.64
6.95,Balanced,997.78
6.95,Aggressive,993.54
6.95,Conservative,999.66
6.95,Opportunistic,997.82
6.95,Cyclic,999.46
7.0,Opportunistic,997.8
7.0,Cyclic,999.46
7.0,Conservative,999.66
7.0,Aggressive,993.42
7.0,Balanced,997.76
7.05,Cyclic,999.42
7.05,Aggressive,993.24
7.05,Balanced,997.72
7.05,Conservative,999.66
7.05,Opportunistic,997.78
7.1,Aggressive,993.02
7.1,Balanced,997.68
7.1,Cyclic,999.42
7.1,Conservative,999.64
7.1,Opportunistic,997.76
7.15,Conservative,999.64
7.15,Cyclic,999.38
7.15,Aggressive,992.94
7.15,Balanced,997.62
7.15,Opportunistic,997.74
7.2,Cyclic,999.38
7.2,Aggressive,992.86
7.2,Conservative,999.62
7.2,Balanced,997.58
7.2,Opportunistic,997.7
7.25,Balanced,997.48
7.25,Conservative,999.62
