Time,strategy,avg_profit
1.8,Balanced,-0.0247859533960064
1.8,Cyclic,-0.03638288794506545
1.8,Opportunistic,-0.028057344312252534
1.8,Aggressive,-0.0368292214808052
1.85,Conservative,-0.012154193742615586
1.85,Balanced,-0.025478745882948427
1.85,Aggressive,-0.03792208452113433
1.85,Cyclic,-0.037331086334398494
1.85,Opportunistic,-0.028834376180008076
1.9,Balanced,-0.02575729653978679
1.9,Cyclic,-0.03818213591042396
1.9,Aggressive,-0.03858748947436597
1.9,Opportunistic,-0.029480122577747306
1.9,Conservative,-0.012351776228894454
1.95,Aggressive,-0.03963782937984919
1.95,Opportunistic,-0.03020706522939416
1.95,Cyclic,-0.03904990565540399
1.95,Balanced,-0.02638172038977583
1.95,Conservative,-0.012682660424084877
2.0,Conservative,-0.012886235252685025
2.0,Cyclic,-0.040081488437068116
2.0,Opportunistic,-0.03076403516292703
2.0,Aggressive,-0.0404904566054334
2.0,Balanced,-0.027087185748315496
2.05,Opportunistic,-0.03161355618368458
2.05,Conservative,-0.013146834325467528
2.05,Cyclic,-0.04129814766529072
2.05,Balanced,-0.02755217228443555
2.05,Aggressive,-0.041518923028703324
2.1,Balanced,-0.028107446558588906
2.1,Cyclic,-0.04208289202112843
2.1,Conservative,-0.013325735464038445
2.1,Aggressive,-0.042496750825858604
2.1,Opportunistic,-0.03227375291316483
2.15,Cyclic,-0.04293171943984892
2.15,Balanced,-0.028785983613464686
2.15,Aggressive,-0.043323317108187064
2.15,Conservative,-0.013741833873405274
2.15,Opportunistic,-0.032827369012800346
2.2,Opportunistic,-0.03338790969056531
2.2,Conservative,-0.013929113008913436
2.2,Cyclic,-0.04351595433473025
2.2,Balanced,-0.029480120044150782
2.2,Aggressive,-0.04437586660662102
2.25,Opportunistic,-0.03393795531588937
2.25,Cyclic,-0.044624206829908364
2.25,Aggressive,-0.045022963958803695
2.25,Conservative,-0.014191491615204145
2.25,Balanced,-0.029891570775562152
2.3,Cyclic,-0.045286664822747236
2.3,Conservative,-0.014514457403712447
2.3,Balanced,-0.030577860569379188
2.3,Aggressive,-0.045864220729696245
2.3,Opportunistic,-0.03471267415218057
2.35,Aggressive,-0.04687621890094089
2.35,Conservative,-0.014715222233943438
2.35,Opportunistic,-0.03524970057270833
2.35,Cyclic,-0.04590679236841362
2.35,Balanced,-0.031026420679815984
2.4,Conservative,-0.015082280185329443
2.4,Aggressive,-0.047668161819168026
2.4,Balanced,-0.03155938608901063
2.4,Opportunistic,-0.0359625601019573
2.4,Cyclic,-0.0466603830327994
2.45,Conservative,-0.015280591740322142
2.45,Balanced,-0.03185655428747312
2.45,Cyclic,-0.04782122752196347
2.45,Aggressive,-0.048639162549417074
