Time,strategy,avg_reputation
114.0,Progressive,6.922761277217124
114.0,Opportunistic,6.896008858269372
115.0,Progressive,6.922159873285246
115.0,Conservative,7.037816764660452
115.0,Balanced,6.924614006508423
115.0,Opportunistic,6.894965240143303
115.0,Aggressive,6.823866508245691
116.0,Opportunistic,6.894020595122092
116.0,Conservative,7.038096924820611
116.0,Progressive,6.921597088615119
116.0,Balanced,6.924168677453606
116.0,Aggressive,6.8226949987046295
117.0,Aggressive,6.821188907751284
117.0,Progressive,6.9213115459300685
117.0,Balanced,6.923967052701636
117.0,Opportunistic,6.89285869057044
117.0,Conservative,7.038016724500051
118.0,Conservative,7.038957165261455
118.0,Opportunistic,6.892431336634676
118.0,Balanced,6.923225890215299
118.0,Progressive,6.9208307239847935
118.0,Aggressive,6.81956219257189
119.0,Conservative,7.039457505722155
119.0,Opportunistic,6.891725400262022
119.0,Aggressive,6.817714466128752
119.0,Balanced,6.922502846288642
119.0,Progressive,6.9202288217224135
120.0,Aggressive,6.8166391543161815
120.0,Opportunistic,6.891044999741865
120.0,Balanced,6.922118790155231
120.0,Progressive,6.919487116645776
120.0,Conservative,7.039678127064942
121.0,Aggressive,6.815497428571532
121.0,Opportunistic,6.890339574889756
121.0,Progressive,6.9189846201404235
121.0,Balanced,6.9216161620717775
121.0,Conservative,7.039998347445643
122.0,Opportunistic,6.889536325586659
122.0,Progressive,6.918800786136432
122.0,Conservative,7.040479028286804
122.0,Aggressive,6.8143240038992845
122.0,Balanced,6.920991889902972
123.0,Opportunistic,6.888591898391158
123.0,Conservative,7.041241330709467
123.0,Progressive,6.9180196027435565
123.0,Balanced,6.920689723324796
123.0,Aggressive,6.813058770897787
124.0,Progressive,6.917578840898947
124.0,Opportunistic,6.887527179544314
124.0,Balanced,6.920245483509633
124.0,Conservative,7.041461912453535
124.0,Aggressive,6.811752351523585
125.0,Progressive,6.917095163429237
125.0,Opportunistic,6.886425955510325
125.0,Conservative,7.041962193014657
125.0,Aggressive,6.811076495496024
125.0,Balanced,6.919703578317264
126.0,Conservative,7.042402213034678
126.0,Aggressive,6.809935112586188
126.0,Balanced,6.918859966836919
126.0,Progressive,6.916590649509869
126.0,Opportunistic,6.8857230267679075
127.0,Conservative,7.042382172914398
127.0,Balanced,6.917855646233476
127.0,Aggressive,6.808556357719923
127.0,Progressive,6.916008822142511
127.0,Opportunistic,6.884621302113782
128.0,Balanced,6.917114764711642
128.0,Conservative,7.0428847599161255
128.0,Aggressive,6.8071267500316175
128.0,Progressive,6.915188162047043
128.0,Opportunistic,6.883737662276961
129.0,Balanced,6.916770093579744
129.0,Conservative,7.043446163524143
129.0,Opportunistic,6.882916218103839
129.0,Aggressive,6.805860615996648
129.0,Progressive,6.914146034978878
130.0,Conservative,7.043806363844704
130.0,Balanced,6.9166080004713395
130.0,Progressive,6.914002106881356
130.0,Opportunistic,6.882593093655296
130.0,Aggressive,6.804377627267038
131.0,Opportunistic,6.8815083596172295
131.0,Balanced,6.916444672773208
131.0,Aggressive,6.802766812013569
131.0,Progressive,6.9134800615905405
131.0,Conservative,7.044026884887149
132.0,Aggressive,6.801537086955685
132.0,Balanced,6.916100917522183
132.0,Progressive,6.913096621315995
132.0,Opportunistic,6.880566775142034
132.0,Conservative,7.044588308795787
133.0,Progressive,6.9126348980661945
133.0,Aggressive,6.799849341669488
133.0,Opportunistic,6.879703268745884
133.0,Conservative,7.04482864937685
133.0,Balanced,6.9154785572778925
134.0,Conservative,7.045389753370354
134.0,Progressive,6.9123142958171595
134.0,Aggressive,6.79851352760755
134.0,Balanced,6.914735129784989
134.0,Opportunistic,6.878678840585442
135.0,Opportunistic,6.877752813026249
135.0,Progressive,6.910967331761707
135.0,Aggressive,6.796761926002141
135.0,Balanced,6.914769630090421
135.0,Conservative,7.046030253710131
136.0,Progressive,6.9105067909423825
136.0,Balanced,6.914284517752404
136.0,Opportunistic,6.877242863751426
136.0,Conservative,7.046412075652434
136.0,Aggressive,6.795474816412916
137.0,Opportunistic,6.876441620059707
137.0,Progressive,6.910164043387385
137.0,Aggressive,6.7944590678479075
137.0,Conservative,7.046492055592174
137.0,Balanced,6.913918405298688
138.0,Balanced,6.913573766408268
138.0,Aggressive,6.792607218313518
138.0,Progressive,6.909542519294417
138.0,Conservative,7.047153017556744
138.0,Opportunistic,6.8755369447935015
139.0,Conservative,7.047453618960235
139.0,Balanced,6.913248324249276
139.0,Progressive,6.9086591461277
139.0,Aggressive,6.791701788194165
139.0,Opportunistic,6.874314558313172
140.0,Progressive,6.9081752938532786
140.0,Conservative,7.048254480583864
