Time,strategy,fog_count,avg_reputation,avg_profit
271.4663795955561,Aggressive,470,5.031914893617022,-0.7140878588080555
271.4900040375514,Conservative,113,6.911504424778761,-0.43057954138251997
271.4927751471235,Conservative,113,6.920353982300885,-0.43010102993184635
271.49980829103146,Conservative,113,6.893805309734513,-0.4396490408189024
271.5071054102671,Conservative,113,6.902654867256637,-0.43928194866518105
271.5305620105024,Conservative,113,6.911504424778761,-0.43891560687566183
271.5351003810339,Conservative,113,6.920353982300885,-0.4384785924641276
271.5355364685234,Conservative,113,6.920353982300885,-0.4379471028164028
271.54038688182726,Conservative,113,6.920353982300885,-0.4374172450214144
271.5426580948284,Conservative,113,6.920353982300885,-0.43687667871291547
271.54906765751053,Conservative,113,6.920353982300885,-0.43631570907518313
271.5871662866848,Conservative,113,6.920353982300885,-0.435810779230951
271.5876390527815,Conservative,113,6.920353982300885,-0.4352486936585633
271.6042082373492,Conservative,113,6.920353982300885,-0.4345501750516059
271.61588889120355,Conservative,113,6.920353982300885,-0.4339793808053141
271.6181451989584,Conservative,113,6.893805309734513,-0.4433691210545981
271.6225401009847,Conservative,113,6.902654867256637,-0.4430480400457343
271.62653240496206,Conservative,113,6.876106194690266,-0.45276103533188966
271.64136616775676,Conservative,113,6.849557522123894,-0.4622021957831531
271.64554235292087,Conservative,112,6.892857142857143,-0.43528230855698996
271.64609993122735,Conservative,112,6.901785714285714,-0.4347486001406173
271.6474751172351,Conservative,112,6.875,-0.4445637851583163
271.66180045721524,Conservative,112,6.883928571428571,-0.44427673672748486
271.6643787605007,Aggressive,470,5.025531914893617,-0.7162730211921748
271.66768392717506,Conservative,112,6.857142857142857,-0.45406997439219554
271.67822219498225,Conservative,112,6.866071428571429,-0.4537230683638117
271.6964913029623,Conservative,112,6.839285714285714,-0.4633672267411905
271.70862361865807,Conservative,112,6.848214285714286,-0.46324158238794294
271.7143788623272,Conservative,112,6.857142857142857,-0.46294314432974126
271.71610934948677,Conservative,112,6.866071428571429,-0.46275813364362695
271.71655089264823,Conservative,112,6.839285714285714,-0.4722441265249243
271.7275279970297,Conservative,112,6.848214285714286,-0.47212741714964135
271.73540400509387,Conservative,112,6.857142857142857,-0.4720260219450662
271.74535796706596,Conservative,112,6.866071428571429,-0.47189204366959914
271.7478813028356,Conservative,112,6.875,-0.4715645552258446
271.750797992738,Conservative,111,6.882882882882883,-0.4395370368381032
271.75428847284405,Conservative,111,6.891891891891892,-0.4393798822774982
271.76629756051955,Conservative,111,6.900900900900901,-0.43925160593715334
