Time,strategy,avg_collateral
2.8,Aggressive,4.9588519190890965
2.8,Balanced,4.9719941930708265
2.8,Progressive,4.9572917582458045
2.85,Aggressive,4.958311578548034
2.85,Balanced,4.971514153030786
2.85,Conservative,4.990659599599599
2.85,Opportunistic,4.967888781362794
2.85,Progressive,4.956690695780534
2.9,Progressive,4.956050295179532
2.9,Aggressive,4.95759013678551
2.9,Conservative,4.990519479479479
2.9,Balanced,4.970994052930687
2.9,Opportunistic,4.967268581082354
2.95,Progressive,4.955168651250792
2.95,Opportunistic,4.966408200581612
2.95,Balanced,4.970453992830506
2.95,Aggressive,4.956868713317832
2.95,Conservative,4.990319459459459
3.0,Balanced,4.9700132921298055
3.0,Opportunistic,4.965988120461412
3.0,Progressive,4.954386926880771
3.0,Conservative,4.99009941941942
3.0,Aggressive,4.956064643832218
3.05,Progressive,4.953826386019148
3.05,Conservative,4.9899593993994
3.05,Opportunistic,4.9653078800204495
3.05,Aggressive,4.955284042870295
3.05,Balanced,4.969493172009685
3.1,Conservative,4.9898793993994
3.1,Opportunistic,4.964867759860209
3.1,Balanced,4.9690319897853765
3.1,Progressive,4.953165825057264
3.1,Aggressive,4.954481638782479
3.15,Progressive,4.95250365899788
3.15,Aggressive,4.953599094073319
3.15,Opportunistic,4.964487019119469
3.15,Balanced,4.968531249004516
3.15,Conservative,4.989799399399399
3.2,Aggressive,4.952898593291857
3.2,Conservative,4.9895993993994
3.2,Opportunistic,4.964066939039389
3.2,Progressive,4.95195969009876
3.2,Balanced,4.968149702113925
3.25,Conservative,4.9893993993993995
3.25,Opportunistic,4.963546158138247
3.25,Progressive,4.951078948796093
3.25,Balanced,4.967789581993806
3.25,Aggressive,4.952396365528085
3.3,Progressive,4.950395080231517
3.3,Balanced,4.9673093815524005
3.3,Conservative,4.9892993993994
3.3,Opportunistic,4.963005857556864
3.3,Aggressive,4.951654861739608
3.35,Balanced,4.9668092813720595
3.35,Conservative,4.989099399399399
3.35,Aggressive,4.950914140456842
3.35,Opportunistic,4.962565597015519
3.35,Progressive,4.949813676663379
3.4,Aggressive,4.950389653484779
3.4,Opportunistic,4.962045376715059
3.4,Balanced,4.9662089006301136
3.4,Conservative,4.9889793993994
3.4,Progressive,4.948991027354129
3.45,Aggressive,4.949746962244162
3.45,Opportunistic,4.961465156334358
3.45,Conservative,4.9887793993994
3.45,Progressive,4.948049284849741
3.45,Balanced,4.965588780469873
3.5,Conservative,4.9887193993993995
3.5,Aggressive,4.948926160921677
3.5,Balanced,4.965048660349753
3.5,Opportunistic,4.961024995973475
3.5,Progressive,4.947306134036622
3.55,Aggressive,4.948242492563579
3.55,Conservative,4.9884593993993995
3.55,Balanced,4.964668520129372
3.55,Opportunistic,4.9604448958332545
3.55,Progressive,4.946641415985155
3.6,Progressive,4.94601868410161
3.6,Balanced,4.964046977223741
3.6,Opportunistic,4.959904715572834
3.6,Aggressive,4.947619624806041
3.6,Conservative,4.98829937937938
3.65,Progressive,4.945334643506083
3.65,Aggressive,4.946916799254919
3.65,Conservative,4.988039359359359
3.65,Balanced,4.96354675688316
3.65,Opportunistic,4.95928437487117
3.7,Progressive,4.944473400336651
3.7,Conservative,4.987859359359359
3.7,Aggressive,4.946095857390729
3.7,Balanced,4.963026355920109
3.7,Opportunistic,4.95878429479109
3.75,Progressive,4.943632578592461
3.75,Conservative,4.987839359359359
3.75,Balanced,4.96258379143129
3.75,Aggressive,4.945331767883042
3.75,Opportunistic,4.958344134550689
3.8,Opportunistic,4.957783974270047
3.8,Progressive,4.942810249560636
3.8,Aggressive,4.944388080708291
3.8,Conservative,4.9876993193193195
3.8,Balanced,4.962082930490189
3.85,Balanced,4.961842850410108
3.85,Progressive,4.9420281064144
3.85,Opportunistic,4.957302793008625
3.85,Conservative,4.987459299299299
3.85,Aggressive,4.943686998342515
3.9,Balanced,4.961402149709407
3.9,Progressive,4.941221279724173
3.9,Conservative,4.987379299299299
3.9,Aggressive,4.942984009734726
3.9,Opportunistic,4.956862672848385
3.95,Balanced,4.960921909187842
3.95,Conservative,4.987259259259259
3.95,Aggressive,4.942460680392274
3.95,Progressive,4.940317119183928
3.95,Opportunistic,4.9564218892147185
4.0,Progressive,4.939673811298922
4.0,Aggressive,4.941639698608525
4.0,Balanced,4.960660164432612
4.0,Opportunistic,4.955941708873936
4.0,Conservative,4.987099239239239
4.05,Conservative,4.986959239239239
4.05,Opportunistic,4.9552614083327935
4.05,Balanced,4.96013896311093
4.05,Progressive,4.938968750131298
4.05,Aggressive,4.940896349366414
4.1,Aggressive,4.9401717156259135
4.1,Opportunistic,4.954641208012112
4.1,Conservative,4.986719199199198
4.1,Balanced,4.959638162068924
4.1,Progressive,4.938107306037202
4.15,Balanced,4.959156117578456
4.15,Opportunistic,4.953820747150207
4.15,Progressive,4.937404773538015
4.15,Aggressive,4.939510713500701
4.15,Conservative,4.986519179179179
4.2,Aggressive,4.938606820460942
4.2,Conservative,4.9863791791791785
4.2,Opportunistic,4.9531003061878405
4.2,Progressive,4.936662484987671
4.2,Balanced,4.958475455953581
4.25,Conservative,4.986239119119118
4.25,Progressive,4.935980077806599
4.25,Balanced,4.95797467513268
4.25,Opportunistic,4.952657202924136
4.25,Aggressive,4.938024468785188
4.3,Progressive,4.935276146244956
4.3,Aggressive,4.937259068176591
4.3,Conservative,4.986099119119118
4.3,Opportunistic,4.952296121802934
4.3,Balanced,4.957651752209757
4.35,Progressive,4.934293120570732
4.35,Aggressive,4.936616598844385
4.35,Opportunistic,4.951855781141391
4.35,Balanced,4.957270889984806
4.35,Conservative,4.985939119119118
4.4,Opportunistic,4.95145554086103
4.4,Balanced,4.956790729784526
4.4,Progressive,4.933672238846964
4.4,Conservative,4.985638838838839
4.4,Aggressive,4.935975375776182
4.45,Conservative,4.985538818818819
4.45,Aggressive,4.935230118123386
4.45,Balanced,4.95643048930308
4.45,Opportunistic,4.950815220299747
4.45,Progressive,4.933088521793227
4.5,Aggressive,4.93474798634532
4.5,Conservative,4.98537881881882
4.5,Opportunistic,4.950172655530206
4.5,Balanced,4.955870088701958
4.5,Progressive,4.9323841196563665
4.55,Conservative,4.985298818818819
4.55,Aggressive,4.934025241594751
4.55,Progressive,4.931760841664842
4.55,Balanced,4.955449868441617
4.55,Opportunistic,4.949732354948823
4.6,Opportunistic,4.9491321547085025
4.6,Aggressive,4.933003778326308
4.6,Progressive,4.93117841723205
4.6,Balanced,4.954928566858991
4.6,Conservative,4.98509881881882
4.65,Progressive,4.930436912877051
4.65,Conservative,4.985058818818819
4.65,Balanced,4.954368146197727
4.65,Opportunistic,4.948611894207399
4.65,Aggressive,4.932340893918009
4.7,Opportunistic,4.948010590819844
4.7,Conservative,4.984938798798799
4.7,Balanced,4.953686782789507
4.7,Progressive,4.929395228259449
4.7,Aggressive,4.931539470770328
4.75,Conservative,4.984838798798799
4.75,Progressive,4.92847201444261
4.75,Opportunistic,4.9473890867505235
4.75,Aggressive,4.93093572289311
4.75,Balanced,4.953364458019364
4.8,Opportunistic,4.946767725228559
4.8,Aggressive,4.930234620386349
4.8,Conservative,4.984738798798799
4.8,Balanced,4.9529413723246
4.8,Progressive,4.9279883117554775
4.85,Balanced,4.9523808515632375
4.85,Aggressive,4.9296306692597875
4.85,Conservative,4.984638618618619
4.85,Opportunistic,4.946287444667196
4.85,Progressive,4.927305392656802
4.9,Balanced,4.951879447874738
4.9,Opportunistic,4.945942737956357
4.9,Progressive,4.926462507442832
4.9,Aggressive,4.928826534009304
4.9,Conservative,4.984438298298298
4.95,Conservative,4.984358298298299
4.95,Opportunistic,4.945622537555435
4.95,Progressive,4.925874348535479
4.95,Balanced,4.951558364625954
4.95,Aggressive,4.928260822281345
5.0,Conservative,4.984238278278279
5.0,Balanced,4.95105796394447
5.0,Aggressive,4.9274992579881
5.0,Opportunistic,4.94524137237633
5.0,Progressive,4.925208513317946
5.05,Balanced,4.95057665838402
5.05,Progressive,4.924722828392701
5.05,Conservative,4.984058258258258
5.05,Aggressive,4.92687630584312
5.05,Opportunistic,4.944739810533806
5.1,Opportunistic,4.9441792494111985
5.1,Conservative,4.983738258258259
5.1,Balanced,4.9501960968992424
5.1,Progressive,4.924157431939442
5.1,Aggressive,4.92631208724503
5.15,Opportunistic,4.9436575849406355
5.15,Conservative,4.9834782182182185
5.15,Balanced,4.949573453654071
5.15,Aggressive,4.925527323721576
5.15,Progressive,4.923614361682739
5.2,Opportunistic,4.943237244319212
5.2,Aggressive,4.924844495801426
5.2,Conservative,4.983238218218219
5.2,Progressive,4.922951644838991
5.2,Balanced,4.94915184940429
5.25,Progressive,4.922030000102164
5.25,Conservative,4.982998198198199
5.25,Balanced,4.9486514486020825
5.25,Aggressive,4.92416164201637
5.25,Opportunistic,4.94265692387853
5.3,Conservative,4.982798178178179
5.3,Aggressive,4.923515852892393
5.3,Progressive,4.921425621943463
5.3,Balanced,4.948190987619454
5.3,Opportunistic,4.942054055993388
5.35,Conservative,4.982638158158158
5.35,Balanced,4.947809443349733
5.35,Aggressive,4.92303159020903
5.35,Progressive,4.920682489618663
5.35,Opportunistic,4.941492208727583
5.4,Conservative,4.982518158158158
5.4,Progressive,4.919957637258852
5.4,Opportunistic,4.940771647564736
5.4,Aggressive,4.922307008073354
5.4,Balanced,4.947367899200132
5.45,Balanced,4.946864730334336
5.45,Opportunistic,4.94025130690319
5.45,Conservative,4.982337877877878
5.45,Aggressive,4.921799731130017
5.45,Progressive,4.9193310894138005
5.5,Aggressive,4.920914662830415
5.5,Conservative,4.982177857857858
5.5,Progressive,4.918664650171482
