Time,strategy,avg_pr
5.45,Balanced,0.4344773970506148
5.45,Conservative,0.7707463783713999
5.45,Cyclic,0.5412973930910732
5.45,Opportunistic,0.3397270227644062
5.45,Aggressive,0.09055292190638957
5.5,Balanced,0.4343553114056152
5.5,Aggressive,0.09062505646833091
5.5,Cyclic,0.540977989311354
5.5,Opportunistic,0.339368396728194
5.5,Conservative,0.7709336584563229
5.55,Aggressive,0.09041466961594713
5.55,Cyclic,0.5402528584802032
5.55,Opportunistic,0.33976423468808425
5.55,Balanced,0.43373842994373524
5.55,Conservative,0.771836079788321
5.6,Balanced,0.43425945058746956
5.6,Conservative,0.7722967965660288
5.6,Cyclic,0.5392675115784393
5.6,Opportunistic,0.33945717924803026
5.6,Aggressive,0.09017825266023483
5.65,Conservative,0.7732196650022398
5.65,Aggressive,0.09033792239834851
5.65,Opportunistic,0.3397786933335729
5.65,Balanced,0.4338324740973728
5.65,Cyclic,0.5401904608952421
5.7,Cyclic,0.5397640466236189
5.7,Balanced,0.434189027084241
5.7,Opportunistic,0.3395205243714451
5.7,Aggressive,0.09076149230270765
5.7,Conservative,0.7731453672235297
5.75,Aggressive,0.09121265552598419
5.75,Opportunistic,0.33995376780575914
5.75,Conservative,0.7737161454555056
5.75,Cyclic,0.5391128009731673
5.75,Balanced,0.4341431897445361
5.8,Aggressive,0.0914028490496364
5.8,Cyclic,0.5387301941395427
5.8,Opportunistic,0.33989460828168383
5.8,Conservative,0.7733526371461751
5.8,Balanced,0.43343426311170874
5.85,Conservative,0.7736937125004145
5.85,Aggressive,0.09151426963260446
5.85,Cyclic,0.5381034946866023
5.85,Balanced,0.43426225731598905
5.85,Opportunistic,0.33907884650938624
5.9,Aggressive,0.09158039178075286
5.9,Cyclic,0.5378507127908393
5.9,Balanced,0.43243493190218707
5.9,Opportunistic,0.3391828991730879
5.9,Conservative,0.7741799814114969
5.95,Opportunistic,0.3396733561132694
5.95,Aggressive,0.09141487631525372
5.95,Conservative,0.7745814384060599
5.95,Balanced,0.43302958561126664
5.95,Cyclic,0.5378901329934724
6.0,Balanced,0.43388143046770744
6.0,Conservative,0.775123609113544
6.0,Opportunistic,0.3390712638593887
6.0,Aggressive,0.09163013342309885
6.0,Cyclic,0.5382441717204366
6.05,Aggressive,0.09163043064712477
6.05,Balanced,0.4345602866682
6.05,Opportunistic,0.33817291213786765
6.05,Cyclic,0.5389032742550287
6.05,Conservative,0.7760067786741858
6.1,Opportunistic,0.3388160763557899
6.1,Balanced,0.4344810456079019
6.1,Aggressive,0.09132886712588352
6.1,Cyclic,0.5393378908929058
6.1,Conservative,0.7758901709418902
6.15,Balanced,0.43452605709785375
6.15,Aggressive,0.09097970353340766
6.15,Opportunistic,0.3395809040895878
6.15,Conservative,0.7765063590191704
6.15,Cyclic,0.5391129156666158
6.2,Aggressive,0.09090788765033958
6.2,Conservative,0.7767719986798913
6.2,Balanced,0.4350738922243289
6.2,Opportunistic,0.33920072149082764
6.2,Cyclic,0.5384224454141031
6.25,Conservative,0.776792318366865
6.25,Aggressive,0.09074008683329098
6.25,Balanced,0.4352255741726377
6.25,Cyclic,0.5387847137053465
6.25,Opportunistic,0.3392598838235763
6.3,Aggressive,0.09016140195406225
6.3,Cyclic,0.5391196082459528
6.3,Conservative,0.776753484101233
6.3,Balanced,0.4346554100732145
6.3,Opportunistic,0.3398270601518011
6.35,Conservative,0.7768498809365835
6.35,Aggressive,0.08990409809194659
6.35,Balanced,0.4353169178327241
6.35,Cyclic,0.5392121160408155
6.35,Opportunistic,0.3395677294179022
6.4,Aggressive,0.08964617621346119
6.4,Conservative,0.7761215035895304
6.4,Balanced,0.43527589492510854
6.4,Cyclic,0.5389219962039441
6.4,Opportunistic,0.3401659030231264
6.45,Cyclic,0.5395277677695467
6.45,Opportunistic,0.3405655847428287
6.45,Balanced,0.43491545215938293
6.45,Conservative,0.7763333672535296
6.45,Aggressive,0.08922716884923176
6.5,Opportunistic,0.3408272500143561
6.5,Cyclic,0.5389020564808233
6.5,Aggressive,0.08913878605455854
6.5,Conservative,0.777151368408429
6.5,Balanced,0.43647062678112547
6.55,Aggressive,0.08974025658220831
6.55,Opportunistic,0.34056449533088773
6.55,Balanced,0.4358011949166164
6.55,Cyclic,0.5394853908486218
6.55,Conservative,0.7772610157640811
6.6,Cyclic,0.539373032275096
6.6,Opportunistic,0.3411998285973113
6.6,Conservative,0.7776024805135342
6.6,Balanced,0.4359854387266588
6.6,Aggressive,0.08995584913668699
6.65,Cyclic,0.5392550135766762
6.65,Balanced,0.43737347001957366
6.65,Aggressive,0.09019344996900555
6.65,Conservative,0.7777504690842527
6.65,Opportunistic,0.34149648266935434
6.7,Conservative,0.7781015980030983
6.7,Balanced,0.43741069749462513
6.7,Cyclic,0.5394633068091013
6.7,Aggressive,0.09013933128947028
6.7,Opportunistic,0.3418156128638262
6.75,Opportunistic,0.3418003797033796
6.75,Conservative,0.7778010759832737
6.75,Balanced,0.4376006510544521
